valid_time,number,expver,pev,pev_mm
1964-05-01,0,0001,-0.00357507367383254,110.82728388880874
1964-06-01,0,0001,-0.002865457998822865,85.96373996468596
1964-07-01,0,0001,-0.0030760462403686137,95.35743345142703
1964-08-01,0,0001,-0.0039316648275169895,121.88160965302667
1964-09-01,0,0001,-0.004860856023104256,145.82568069312768
1964-10-01,0,0001,-0.005970256111206662,185.07793944740652
1964-11-01,0,0001,-0.006362870387500996,190.88611162502988
1964-12-01,0,0001,-0.005833655974692305,180.84333521546148
1965-01-01,0,0001,-0.005413630637921334,167.82254977556136
1965-02-01,0,0001,-0.0051137741653696,143.18567663034878
1965-03-01,0,0001,-0.004618645846069755,143.17802122816244
1965-04-01,0,0001,-0.004546152332428421,136.38456997285263
1965-05-01,0,0001,-0.0037445476296330163,116.0809765186235
1965-06-01,0,0001,-0.0029155032025533017,87.46509607659905
1965-07-01,0,0001,-0.0031674666439168997,98.19146596142389
1965-08-01,0,0001,-0.00382605792642762,118.60779571925622
1965-09-01,0,0001,-0.004805817250413138,144.17451751239412
1965-10-01,0,0001,-0.006164409301199731,191.09668833719164
1965-11-01,0,0001,-0.006747201997845575,202.41605993536723
1965-12-01,0,0001,-0.00626959431131441,194.3574236507467
1966-01-01,0,0001,-0.0057987967546218365,179.76269939327693
1966-02-01,0,0001,-0.00587963141270178,164.62967955564983
1966-03-01,0,0001,-0.005419235866974604,167.99631187621273
1966-04-01,0,0001,-0.0049531829142184375,148.59548742655312
1966-05-01,0,0001,-0.003627977206238046,112.46729339337942
1966-06-01,0,0001,-0.0031974528579223034,95.9235857376691
1966-07-01,0,0001,-0.0030657794448528787,95.03916279043924
1966-08-01,0,0001,-0.004061622562864533,125.91029944880053
1966-09-01,0,0001,-0.005290805321361163,158.7241596408349
1966-10-01,0,0001,-0.005789002089678521,179.45906478003414
1966-11-01,0,0001,-0.006383099539163091,191.4929861748927
1966-12-01,0,0001,-0.0054952321846324275,170.35219772360523
1967-01-01,0,0001,-0.006194377155730613,192.025691827649
1967-02-01,0,0001,-0.004683207224973711,131.1298022992639
1967-03-01,0,0001,-0.004221110269971741,130.85441836912398
1967-04-01,0,0001,-0.004066584680484851,121.99754041454553
1967-05-01,0,0001,-0.0037189595349155754,115.28774558238284
1967-06-01,0,0001,-0.0026949085833496552,80.84725750048966
1967-07-01,0,0001,-0.003255441186508064,100.91867678174998
1967-08-01,0,0001,-0.004104304285667475,127.23343285569175
1967-09-01,0,0001,-0.0049430835709347275,148.29250712804182
1967-10-01,0,0001,-0.005773713812067062,178.9851281740789
1967-11-01,0,0001,-0.006454611479232157,193.63834437696474
1967-12-01,0,0001,-0.005263209417466002,163.15949194144608
1968-01-01,0,0001,-0.004945191394837241,153.30093323995447
1968-02-01,0,0001,-0.00425292192229024,123.33473574641694
1968-03-01,0,0001,-0.004641552676644558,143.8881329759813
