date,t2m_C
1966-07-01,4.460080962623181
1966-08-01,5.432163583241049
1966-09-01,8.416163172235088
1966-10-01,10.145575607728745
1966-11-01,10.657311998187879
1966-12-01,10.294432611676598
1967-01-01,11.076791606341942
1967-02-01,9.47387505088625
1967-03-01,8.758479227305202
1967-04-01,7.7250842094506424
1967-05-01,7.1234740144586794
1967-06-01,3.442822828536862
1967-07-01,3.669547924400831
1967-08-01,5.477096926985325
1967-09-01,8.166642052975703
1967-10-01,9.862761322504014
1967-11-01,10.616532457053836
1967-12-01,9.29208407100225
1968-01-01,9.163896447356876
1968-02-01,8.972784251224198
1968-03-01,8.431081233134648
1968-04-01,6.663369903968999
1968-05-01,4.205366002204755
1968-06-01,4.453034742429907
1968-07-01,4.327546232210636
1968-08-01,5.568965745968171
1968-09-01,7.925570030781273
1968-10-01,10.469116691144905
1968-11-01,10.538686450522334
1968-12-01,10.181941829665504
1969-01-01,9.421334911182726
1969-02-01,10.05408521270283
1969-03-01,10.086934854418132
1969-04-01,9.481766807097756
1969-05-01,6.96629824831291
1969-06-01,5.1154633792368145
1969-07-01,4.921609698642101
1969-08-01,6.524682909539365
1969-09-01,8.846147725283402
1969-10-01,10.40113900253499
1969-11-01,11.943528762275776
1969-12-01,10.018305041547535
1970-01-01,9.922257785179056
1970-02-01,9.45899024832886
1970-03-01,8.789208547747592
1970-04-01,8.306994078408877
1970-05-01,6.4864798566408695
1970-06-01,5.092579375903711
1970-07-01,4.589049097690861
1970-08-01,5.899827575359325
1970-09-01,7.28130823178202
1970-10-01,10.132682083448799
1970-11-01,10.518367831775436
1970-12-01,10.087265317968786
1971-01-01,10.443059331914924
1971-02-01,8.776417245457935
1971-03-01,9.2172076567864
1971-04-01,8.160337633523909
1971-05-01,5.9010302213479235
1971-06-01,3.431169985081624
1971-07-01,3.3064681902579878
1971-08-01,5.7716152130042815
1971-09-01,8.420413867885884
1971-10-01,8.157183260608576
1971-11-01,9.340022911115568
1971-12-01,10.53404485661747
1972-01-01,8.823601818504812
1972-02-01,8.862648405515984
1972-03-01,9.802440648642062
1972-04-01,8.167382979837555
1972-05-01,6.697005500741966
1972-06-01,4.358351669003582
1972-07-01,5.444836502459566
1972-08-01,5.588847524202947
1972-09-01,7.994325708847953
1972-10-01,10.659246129785629
1972-11-01,12.300905078870926
1972-12-01,10.415838180849505
1973-01-01,11.4079274373413
1973-02-01,10.547609828994382
1973-03-01,10.390814877448179
1973-04-01,9.329268901181706
1973-05-01,7.352267536682348
1973-06-01,3.360078510466053
1973-07-01,4.389064168552181
1973-08-01,5.2153964346899215
1973-09-01,8.35915108005895
1973-10-01,10.732037809451526
1973-11-01,11.404479396476859
1973-12-01,10.852265414497936
1974-01-01,9.364556360643292
1974-02-01,9.081943605481854
1974-03-01,8.51673297703104
1974-04-01,7.60632571557403
1974-05-01,5.162277125985099
1974-06-01,3.592924520806605
1974-07-01,4.992932058007
1974-08-01,4.526347462531305
1974-09-01,8.041959771973666
1974-10-01,9.22835977680279
1974-11-01,11.285188123273826
1974-12-01,9.855916172491732
1975-01-01,9.427072294955167
1975-02-01,9.451052142132028
1975-03-01,9.287079476480017
1975-04-01,8.519775985353647
1975-05-01,6.54747094840252
1975-06-01,4.453422697272174
1975-07-01,3.7132028775707795
1975-08-01,6.307132615349531
1975-09-01,7.890892313087704
1975-10-01,9.399652568742624
1975-11-01,11.078619965397934
1975-12-01,9.885989199173707
1976-01-01,9.051379286554152
1976-02-01,9.167551888053083
1976-03-01,8.90313662680029
1976-04-01,7.951634789118032
1976-05-01,5.7152691920814505
1976-06-01,4.28261867492472
1976-07-01,5.475881366481701
1976-08-01,5.246024833423576
1976-09-01,6.327170885019882
1976-10-01,9.875875143935161
1976-11-01,10.333505922178631
1976-12-01,11.0172643117358
1977-01-01,10.393834334073517
1977-02-01,10.399589842904845
1977-03-01,9.167944591447736
1977-04-01,8.288681970808284
1977-05-01,5.601400246285891
1977-06-01,4.772366848430067
1977-07-01,5.709250309544359
1977-08-01,6.494335926987674
1977-09-01,8.013315852072083
1977-10-01,9.819535172811413
1977-11-01,10.502132028052017
1977-12-01,10.271881042377004
1978-01-01,9.422458966252975
1978-02-01,9.773071282615604
1978-03-01,8.653015642828109
1978-04-01,7.96265085018905
1978-05-01,5.951923269363078
1978-06-01,5.242913934339754
1978-07-01,4.436376490527778
1978-08-01,6.189766269774793
1978-09-01,7.289894602307584
1978-10-01,9.932086025624073
1978-11-01,10.790831517828906
1978-12-01,10.06355724408121
1979-01-01,9.23287401429792
1979-02-01,9.990639728529459
1979-03-01,9.406799254492455
1979-04-01,8.225296377650182
1979-05-01,6.3717912792966445
1979-06-01,5.99793098413403
1979-07-01,4.12374227830702
1979-08-01,6.226994059928813
1979-09-01,8.489919559180464
