valid_time,number,expver,e,e_mm
1944-10-01 06:00:00,0,0001,-0.0016488151976494646,51.1132711271334
1944-11-01 06:00:00,0,0001,-0.0026731900735427515,80.19570220628255
1944-12-01 06:00:00,0,0001,-0.0029974097035861172,92.91970081116963
1945-01-01 06:00:00,0,0001,-0.0033718530051064653,104.52744315830043
1945-02-01 06:00:00,0,0001,-0.003727629403944679,104.37362331045101
1945-03-01 06:00:00,0,0001,-0.0032859942615283575,101.86582210737909
1945-04-01 06:00:00,0,0001,-0.001857297453505763,55.7189236051729
1945-05-01 06:00:00,0,0001,-0.0009591397913413482,29.733333531581792
1945-06-01 06:00:00,0,0001,-0.0005287589001233504,15.862767003700512
1945-07-01 06:00:00,0,0001,-0.0004296351097892275,13.318688403466053
1945-08-01 06:00:00,0,0001,-0.0006035597176584436,18.71035124741175
1945-09-01 06:00:00,0,0001,-0.0009354273163912701,28.062819491738104
1945-10-01 06:00:00,0,0001,-0.0011407302035379998,35.362636309677995
1945-11-01 06:00:00,0,0001,-0.0022804224679611775,68.41267403883533
1945-12-01 06:00:00,0,0001,-0.003348488080262542,103.8031304881388
1946-01-01 06:00:00,0,0001,-0.0038271829016987714,118.64266995266192
1946-02-01 06:00:00,0,0001,-0.003510564925500627,98.29581791401755
1946-03-01 06:00:00,0,0001,-0.003317384763275528,102.83892766154136
1946-04-01 06:00:00,0,0001,-0.002267015776444234,68.01047329332702
1946-05-01 06:00:00,0,0001,-0.0010104496679728284,31.32393970715768
1946-06-01 06:00:00,0,0001,-0.0008677482381085461,26.032447143256384
1946-07-01 06:00:00,0,0001,-0.000707365921252572,21.92834355882973
1946-08-01 06:00:00,0,0001,-0.0006267237159211397,19.42843519355533
1946-09-01 06:00:00,0,0001,-0.0008176985535244357,24.53095660573307
1946-10-01 06:00:00,0,0001,-0.0012409849482320377,38.47053339519317
1946-11-01 06:00:00,0,0001,-0.0024615733637999527,73.84720091399859
1946-12-01 06:00:00,0,0001,-0.003350189069318892,103.85586114888567
1947-01-01 06:00:00,0,0001,-0.0034809526384893966,107.9095317931713
1947-02-01 06:00:00,0,0001,-0.003526510365739069,98.74229024069393
1947-03-01 06:00:00,0,0001,-0.0032804146186034616,101.69285317670732
1947-04-01 06:00:00,0,0001,-0.0027138627051680347,81.41588115504105
1947-05-01 06:00:00,0,0001,-0.0016880031599215643,52.328097957568495
1947-06-01 06:00:00,0,0001,-0.0007075569333628599,21.226708000885797
1947-07-01 06:00:00,0,0001,-0.0005781931352988423,17.92398719426411
1947-08-01 06:00:00,0,0001,-0.0006342642953582066,19.662193156104404
1947-09-01 06:00:00,0,0001,-0.0008121643182078272,24.364929546234816
