valid_time,number,expver,tp,tp_mm
1954-07-01,0,0001,0.00028568590537062405,8.856263066489344
1954-08-01,0,0001,3.7791032962656135e-05,1.1715220218423401
1954-09-01,0,0001,0.0010670723274311094,32.01216982293328
1954-10-01,0,0001,0.0012714980174848669,39.416438542030875
1954-11-01,0,0001,0.00252171189414904,75.6513568244712
1954-12-01,0,0001,0.005714149281761458,177.1386277346052
1955-01-01,0,0001,0.008534230840533246,264.56115605653065
1955-02-01,0,0001,0.006252084745985357,175.05837288759
1955-03-01,0,0001,0.006710665739280889,208.03063791770757
1955-04-01,0,0001,0.0005070855645345134,15.212566936035403
1955-05-01,0,0001,7.70191188150694e-05,2.387592683267151
1955-06-01,0,0001,1.472196151854809e-05,0.44165884555644275
1955-07-01,0,0001,2.918332356568194e-05,0.9046830305361401
1955-08-01,0,0001,3.9558675431874686e-05,1.2263189383881152
1955-09-01,0,0001,0.0007699542117268042,23.098626351804125
1955-10-01,0,0001,4.8951177423574916e-05,1.5174865001308224
1955-11-01,0,0001,0.0010306497261674884,30.91949178502465
1955-12-01,0,0001,0.004860920260568902,150.68852807763597
1956-01-01,0,0001,0.00676604145391984,209.74728507151502
1956-02-01,0,0001,0.004748928596782569,137.7189293066945
1956-03-01,0,0001,0.0027681126659057065,85.8114926430769
1956-04-01,0,0001,0.0005667553974221661,17.00266192266498
1956-05-01,0,0001,6.703766177580632e-06,0.2078167515049996
1956-06-01,0,0001,8.031780115515548e-06,0.24095340346546643
1956-07-01,0,0001,9.705006226710677e-05,3.00855193028031
1956-08-01,0,0001,4.476952351392973e-05,1.3878552289318216
1956-09-01,0,0001,0.00025720418822086817,7.716125646626045
1956-10-01,0,0001,0.00039481897195102754,12.239388130481853
1956-11-01,0,0001,0.0013035372004572092,39.106116013716274
1956-12-01,0,0001,0.004989965837943906,154.6889409762611
1957-01-01,0,0001,0.009241552473756423,286.4881266864491
1957-02-01,0,0001,0.006071147717659791,169.99213609447415
1957-03-01,0,0001,0.0035196648593952286,109.10961064125209
1957-04-01,0,0001,0.0008402774095977198,25.208322287931594
1957-05-01,0,0001,0.0002834799387349893,8.787878100784669
1957-06-01,0,0001,7.237107181498879e-05,2.171132154449664
1957-07-01,0,0001,5.998416066903276e-07,0.01859508980740016
1957-08-01,0,0001,2.5741892383110173e-05,0.7979986638764154
1957-09-01,0,0001,1.729775202808418e-05,0.5189325608425255
1957-10-01,0,0001,0.0006065715967977949,18.80371950073164
1957-11-01,0,0001,0.0009189070018385918,27.567210055157755
1957-12-01,0,0001,0.004510217933200551,139.81675592921707
1958-01-01,0,0001,0.005783612126325348,179.2919759160858
1958-02-01,0,0001,0.005371750045516824,150.40900127447108
1958-03-01,0,0001,0.0021355772611600697,66.20289509596216
1958-04-01,0,0001,0.00020579917235086397,6.173975170525919
1958-05-01,0,0001,6.836900136324114e-06,0.21194390422604753
1958-06-01,0,0001,3.5671128519795032e-06,0.1070133855593851
1958-07-01,0,0001,1.5759628667109204e-05,0.4885484886803853
1958-08-01,0,0001,2.648455329684726e-05,0.821021152202265
1958-09-01,0,0001,0.00023285134257723902,6.98554027731717
1958-10-01,0,0001,0.0007394669161212679,22.923474399759304
1958-11-01,0,0001,0.0028713054404923633,86.1391632147709
1958-12-01,0,0001,0.0040500484205248845,125.55150103627142
1959-01-01,0,0001,0.004708716548563869,145.97021300547993
1959-02-01,0,0001,0.005136355194367944,143.81794544230243
1959-03-01,0,0001,0.0048895463504236856,151.57593686313425
1959-04-01,0,0001,0.0005690150424712474,17.070451274137422
1959-05-01,0,0001,7.785757266039097e-05,2.41358475247212
1959-06-01,0,0001,6.711007466672731e-05,2.0133022400018192
1959-07-01,0,0001,0.0001718350901166209,5.326887793615248
1959-08-01,0,0001,0.0001119761142934177,3.4712595430959485
1959-09-01,0,0001,0.0003431907623641121,10.295722870923363
1959-10-01,0,0001,0.000510920995340088,15.838550855542726
1959-11-01,0,0001,0.0015842756880484858,47.528270641454576
1959-12-01,0,0001,0.006075293920697706,188.3341115416289
1960-01-01,0,0001,0.008571200191104706,265.7072059242459
1960-02-01,0,0001,0.0030563000834971463,88.63270242141724
1960-03-01,0,0001,0.0013585179406968059,42.11405616160098
1960-04-01,0,0001,0.0003029141880964916,9.087425642894747
1960-05-01,0,0001,7.958377386603673e-06,0.24670969898471387
1960-06-01,0,0001,2.6721839012597905e-06,0.08016551703779372
1960-07-01,0,0001,3.8890985663341516e-05,1.205620555563587
1960-08-01,0,0001,7.64124923648287e-05,2.36878726330969
1960-09-01,0,0001,0.0011029402725936702,33.08820817781011
1960-10-01,0,0001,0.001403926232413554,43.52171320482017
1960-11-01,0,0001,0.003515596765713112,105.46790297139336
1960-12-01,0,0001,0.003963447810339508,122.86688212052475
1961-01-01,0,0001,0.0028056442523401895,86.97497182254588
1961-02-01,0,0001,0.004070800686573399,113.98241922405518
1961-03-01,0,0001,0.001738636389435045,53.897728072486395
1961-04-01,0,0001,0.0004587738283436769,13.763214850310307
1961-05-01,0,0001,0.00011896078034041406,3.6877841905528355
1961-06-01,0,0001,0.00012814123476583038,3.8442370429749113
1961-07-01,0,0001,3.299820548210529e-05,1.0229443699452638
1961-08-01,0,0001,0.0003556579401474755,11.02539614457174
1961-09-01,0,0001,0.0006691450200942727,20.07435060282818
1961-10-01,0,0001,0.0010978859485102637,34.03446440381818
1961-11-01,0,0001,0.0016203856863842776,48.61157059152833
1961-12-01,0,0001,0.00576812122103799,178.8117578521777
1962-01-01,0,0001,0.00403828362387454,125.18679234011074
1962-02-01,0,0001,0.004299946170803778,120.39849278250578
1962-03-01,0,0001,0.004505097601681319,139.65802565212087
1962-04-01,0,0001,0.0010922803760304808,32.76841128091442
1962-05-01,0,0001,7.28897837572251e-05,2.259583296473978
1962-06-01,0,0001,4.59466162270667e-06,0.1378398486812001
1962-07-01,0,0001,0.00025136257940595375,7.792239961584567
1962-08-01,0,0001,5.055703938295552e-05,1.567268220871621
1962-09-01,0,0001,0.0004172897242802043,12.518691728406129
1962-10-01,0,0001,0.00034321360454656345,10.639621740943467
1962-11-01,0,0001,0.0008874251075089834,26.622753225269502
1962-12-01,0,0001,0.003971784665951856,123.12532464450754
1963-01-01,0,0001,0.008650083103353984,268.1525762039735
1963-02-01,0,0001,0.0073057577080018615,204.5612158240521
1963-03-01,0,0001,0.004259756581154993,132.05245401580478
1963-04-01,0,0001,0.0009352260978628273,28.056782935884815
1963-05-01,0,0001,0.00035965290015227354,11.14923990472048
1963-06-01,0,0001,5.0212569042476776e-06,0.15063770712743033
1963-07-01,0,0001,4.80517700144272e-05,1.489604870447243
1963-08-01,0,0001,2.9320282919825436e-05,0.9089287705145884
1963-09-01,0,0001,0.0003823405789148566,11.470217367445699
1963-10-01,0,0001,0.0009818003315297977,30.435810277423727
1963-11-01,0,0001,0.0004618360092995534,13.855080278986602
1963-12-01,0,0001,0.004957461178406502,153.68129653060157
1964-01-01,0,0001,0.002963521710788222,91.86917303443488
1964-02-01,0,0001,0.004132255959956887,119.83542283874972
1964-03-01,0,0001,0.0033617659145599305,104.21474335135784
1964-04-01,0,0001,0.00015334346667537086,4.600304000261126
1964-05-01,0,0001,3.1559479710201155e-05,0.9783438710162357
1964-06-01,0,0001,1.215910363000174e-06,0.036477310890005214
1964-07-01,0,0001,6.625675617793995e-06,0.20539594415161386
1964-08-01,0,0001,0.00019305488368208526,5.9847013941446425
